"br_ouinstance","br_customer_id","br_customer_location","br_from_ship_point_id","br_to_ship_point_id","br_score","br_rank","br_created_date","br_created_by"
2,customer05,tdm,tdm,sp000,1.00000000,1,2019-01-14 20:20:57,ML
2,customer444,"10l","10001153","1211",1.00000002,1,2019-01-14 20:20:58,ML
2,customer444,"10l","2parsou","1211",1.00000002,1,2019-01-14 20:20:58,ML
2,customer444,l793991,sp1,"5l",1.00000002,1,2019-01-14 20:20:59,ML
2,customer444,l793994,"741","963",0.00000000,2,2019-01-14 20:20:59,ML
2,customer444,lynk,"741","5l",1.38016866,1,2019-01-14 20:21:00,ML
2,customer444,lynk,"741","10000051",-1.00595685,4,2019-01-14 20:21:00,ML
2,customer444,lynk,"741","963",-1.04751822,6,2019-01-14 20:21:01,ML
2,customer_01,"10l",shp_cemeng,"5l",1.00000000,1,2019-01-14 20:21:02,ML
2,customer_01,jakartah,td1058,"5l",1.00000000,1,2019-01-14 20:21:03,ML
2,cust_bb,"2tgw","2chikil","5l",1.00000000,1,2019-01-14 20:21:04,ML
2,cust_bb,jakartahub,"12345","5l",1.00000000,1,2019-01-14 20:21:05,ML
2,cust_bb,jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:21:06,ML
2,c_aus,cbayswater,sbayswater,"5l",1.00000000,1,2019-01-14 20:21:07,ML
2,dow-c-001,kalamboli,kalwa-1,"5l",1.00000002,1,2019-01-14 20:21:07,ML
2,fairmaxjak,"2pud",td1058,"5l",1.00000002,1,2019-01-14 20:21:08,ML
2,fairmaxjak,jakartah,td1058,"5l",1.00000002,1,2019-01-14 20:21:08,ML
2,fairmaxjak,jakartahub,td1058,"5l",1.00000002,1,2019-01-14 20:21:09,ML
2,frtsyst01,ramco,frtsyschn,"5l",1.00000002,1,2019-01-14 20:21:10,ML
2,gytextaai,jakartahub,phgytextaai,"5l",1.00000002,1,2019-01-14 20:21:10,ML
2,"2chikil",sydwh,td1239,"5l",1.00000002,1,2019-01-14 20:19:56,ML
2,"49","3l","10000039","5l",1.00000002,1,2019-01-14 20:19:57,ML
2,"501","11l","741","963",1.00000002,1,2019-01-14 20:19:57,ML
2,"501","1201","741","963",1.00000002,1,2019-01-14 20:19:57,ML
2,"501","2ls","741","963",1.00000002,1,2019-01-14 20:19:57,ML
2,"501","2tgw","741","963",1.00000002,1,2019-01-14 20:19:58,ML
2,"501",abcd,"741","963",1.00000002,1,2019-01-14 20:19:58,ML
2,"501",bng,"741","963",1.00000002,1,2019-01-14 20:19:58,ML
2,"501",copylocut,"741","963",1.00000002,1,2019-01-14 20:19:59,ML
2,"501",india,"741","963",1.00000002,1,2019-01-14 20:19:59,ML
2,"501",jakartahub,"741","963",1.00000002,1,2019-01-14 20:19:59,ML
2,"501",jakartahub,"963","741",1.00000002,1,2019-01-14 20:20:02,ML
2,"501",locc,"741","963",1.00000002,1,2019-01-14 20:20:02,ML
2,"501",lynk,"741","5l",1.01976228,1,2019-01-14 20:20:02,ML
2,"501",lynk,"741","963",-1.01976228,2,2019-01-14 20:20:02,ML
2,"501",lynk,"789","5l",1.00000002,1,2019-01-14 20:20:02,ML
2,"501",melwh,"741","963",1.00000002,1,2019-01-14 20:20:03,ML
2,"501",null,"741","963",1.00000002,1,2019-01-14 20:20:03,ML
2,"501",tdm,"741","963",1.00000002,1,2019-01-14 20:20:03,ML
2,"501",toronto,"741","963",1.00000002,1,2019-01-14 20:20:04,ML
2,acn2078,"10l",shp_marunda,"5l",1.00000000,1,2019-01-14 20:20:04,ML
2,acn2078,"2lh","10000051","5l",1.00000002,1,2019-01-14 20:20:04,ML
2,acn2078,"2lh","2parsou","5l",1.00000002,1,2019-01-14 20:20:04,ML
2,advcar,"2lh","2desres","5l",1.00000002,1,2019-01-14 20:20:05,ML
2,advcar,"2pud","5hanlox","5l",1.00000002,1,2019-01-14 20:20:05,ML
2,advcar,"2pudc","24pines","5l",1.00000002,1,2019-01-14 20:20:05,ML
2,advcar,"3c","2chikil","5l",1.00000002,1,2019-01-14 20:20:06,ML
2,agl01,"2lh","5bannor","5l",1.00000002,1,2019-01-14 20:20:06,ML
2,agl01,cp,chnsp,"5l",1.00000002,1,2019-01-14 20:20:06,ML
2,agl01,i1,ia1,"5l",1.00000002,1,2019-01-14 20:20:06,ML
2,agl01,jakartahub,"01","5l",1.00000002,1,2019-01-14 20:20:07,ML
2,agl01,jakartahub,chnsp,"5l",1.00000002,1,2019-01-14 20:20:07,ML
2,amul-001,ahmedabad,gandhinagar-1,"5l",1.00000000,1,2019-01-14 20:20:07,ML
2,asian,"2pud","105-1","5l",1.00000000,1,2019-01-14 20:20:07,ML
2,asian,"2pud","125","5l",1.00000002,1,2019-01-14 20:20:08,ML
2,asian,"2pud","127","5l",1.00000002,1,2019-01-14 20:20:08,ML
2,asian,"2pud","135-1","5l",1.00000000,1,2019-01-14 20:20:08,ML
2,asian,"2pud","135-2","5l",1.00000000,1,2019-01-14 20:20:08,ML
2,asian,"2pud","146","5l",1.00000002,1,2019-01-14 20:20:09,ML
2,asian,"2pud","148","5l",1.00000002,1,2019-01-14 20:20:09,ML
2,asian,"2pud","171","5l",1.00000002,1,2019-01-14 20:20:09,ML
2,asian,"2pud","172","5l",1.00000002,1,2019-01-14 20:20:10,ML
2,asian,"2pud","172-1","5l",1.00000000,1,2019-01-14 20:20:10,ML
2,asian,"2pud","192","5l",1.00000002,1,2019-01-14 20:20:10,ML
2,asian,"2pud","198","5l",1.00000002,1,2019-01-14 20:20:11,ML
2,asian,"2pud","21","5l",1.00000002,1,2019-01-14 20:20:11,ML
2,asian,"2pud","215","5l",1.00000002,1,2019-01-14 20:20:11,ML
2,asian,"2pud","228","5l",1.00000002,1,2019-01-14 20:20:11,ML
2,asian,"2pud","238","5l",1.00000002,1,2019-01-14 20:20:12,ML
2,asian,"2pud","238-1","5l",1.00000000,1,2019-01-14 20:20:12,ML
2,asian,"2pud","23pwick","5l",1.00000002,1,2019-01-14 20:20:12,ML
2,asian,"2pud","26","5l",1.00000002,1,2019-01-14 20:20:12,ML
2,asian,"2pud","289","5l",1.00000002,1,2019-01-14 20:20:13,ML
2,asian,"2pud","289-1","5l",1.00000000,1,2019-01-14 20:20:13,ML
2,asian,"2pud","296","5l",1.00000002,1,2019-01-14 20:20:18,ML
2,asian,"2pud","3","5l",1.00000002,1,2019-01-14 20:20:19,ML
2,asian,"2pud","31","5l",1.00000002,1,2019-01-14 20:20:19,ML
2,asian,"2pud","342","5l",1.00000002,1,2019-01-14 20:20:20,ML
2,asian,"2pud","368","5l",1.00000002,1,2019-01-14 20:20:20,ML
2,asian,"2pud","370","5l",1.00000002,1,2019-01-14 20:20:20,ML
2,asian,"2pud","379","5l",1.00000002,1,2019-01-14 20:20:21,ML
2,asian,"2pud","382-1","5l",1.00000000,1,2019-01-14 20:20:21,ML
2,asian,"2pud","382-10","5l",1.00000000,1,2019-01-14 20:20:21,ML
2,asian,"2pud","382-11","5l",1.00000000,1,2019-01-14 20:20:21,ML
2,asian,"2pud","382-14","5l",1.00000000,1,2019-01-14 20:20:22,ML
2,asian,"2pud","382-15","5l",1.00000000,1,2019-01-14 20:20:22,ML
2,asian,"2pud","382-16","5l",1.00000000,1,2019-01-14 20:20:22,ML
2,asian,"2pud","382-18","5l",1.00000000,1,2019-01-14 20:20:23,ML
